source_group,price,area_total,rooms,floor,floors_total,address,metro,metro_walk_min,kitchen_area,walls,link
studio,8900000,11.0,0,4,4,"11м², 4/4 этаж, ул. Покровка, 43а, Москва, квартира",а На карте Красные Ворота,9,5.0,Кирпич красный,https://msk.etagi.com/realty/11884618/
studio,5800000,16.6,0,2,4,"16.6м², 2/4 этаж, ул. шоссе Фрезер, 17ас3, Москва, апартаменты",Нижегородская,11,2.0,Кирпичные,https://msk.etagi.com/realty/11891428/
studio,28190000,37.7,3,8,22,"37.7м², 8/22 этаж, ул. Полковая, 1к1, Москва, квартира",На карте Савёловская,11,10.0,Монолитные,https://msk.etagi.com/realty/11894600/
studio,22300000,32.0,0,8,18,"32м², 8/18 этаж, ул. Ленинградский проспект, 29с5, Москва, квартира",Динамо,9,6.0,Монолитные,https://msk.etagi.com/realty/11897382/
studio,13100000,21.0,0,4,22,"21м², 4/22 этаж, ул. Тюменский проезд, 3к8, Москва, квартира",всего,3,5.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11897406/
studio,12500000,21.6,0,12,24,"21.6м², 12/24 этаж, ул. Производственная, 17, Москва, квартира",Новопеределкино,9,15.0,Кирпичные,https://msk.etagi.com/realty/11904912/
studio,21500000,25.0,0,17,24,"25м², 17/24 этаж, ул. Академика Королёва, 21кк21, Москва, квартира",Останкино,5,25.0,Монолитно-заливные,https://msk.etagi.com/realty/11908702/
studio,14000000,81.9,0,2,21,"81.9м², 2/21 этаж, ул. Новогиреевская, 5ак2, Москва, апартаменты",Перово,20,20.0,Монолитные,https://msk.etagi.com/realty/11916894/
studio,14800000,20.9,0,3,52,Посмотреть 9 фото,Москворечье,18,3.0,Сборно-монолитный железобетонный каркас,https://msk.etagi.com/realty/11917200/
studio,13000000,21.5,0,10,22,"21.5м², 10/22 этаж, ул. Дегунинская, 9к1, Москва, квартира",Моссельмаш,6,9.0,Монолитные,https://msk.etagi.com/realty/11917655/
studio,14800000,26.9,0,22,30,"26.9м², 22/30 этаж, ул. Новоостаповская, 16к1, Москва, квартира",На карте Дубровка,5,6.0,Монолитные,https://msk.etagi.com/realty/11737625/
studio,11400000,23.2,0,9,25,"23.2м², 9/25 этаж, ул. Люблинская, 72ак2, Москва, квартира",- остановка общественного транспорта в,5,5.0,Панельные,https://msk.etagi.com/realty/11755373/
studio,8000000,10.5,0,5,5,"10.5м², 5/5 этаж, ул. Электрический переулок, 3/10с1, Москва, апартаменты",На карте Белорусская,9,2.0,Монолитные,https://msk.etagi.com/realty/11759411/
studio,18500000,24.0,0,10,17,"24м², 10/17 этаж, ул. Дубининская, 59к5, Москва, квартира",На карте Серпуховская,20,5.0,Монолитные,https://msk.etagi.com/realty/11770041/
studio,15500000,23.5,0,15,42,"23.5м², 15/42 этаж, ул. Озёрная, 1к1, Москва, квартира",Мичуринский проспект,9,5.0,"Кирпичные, монолитно-каркасные",https://msk.etagi.com/realty/11771387/
studio,13200000,27.9,0,8,32,"27.9м², 8/32 этаж, ул. Рязанский проспект, 39к4, Москва, квартира",Стахановская,6,4.0,Монолитные,https://msk.etagi.com/realty/11780461/
studio,10750000,20.0,0,9,25,"20м², 9/25 этаж, ул. Люблинская, 80к5, Москва, квартира",На карте Перерва,14,9.0,Монолитные,https://msk.etagi.com/realty/11780766/
studio,9999999,30.0,0,4,4,"30м², 4/4 этаж, ул. Большая Семёновская, 45, Москва, апартаменты",На карте Семёновская,6,10.0,Кирпичные,https://msk.etagi.com/realty/11790943/
studio,18450000,25.2,0,9,45,Посмотреть 9 фото,На карте Калужская,11,6.8,Монолитно-Кирпичный,https://msk.etagi.com/realty/11791033/
studio,27900000,53.0,0,14,47,"53м², 14/47 этаж, ул. Новодмитровская, 2к6, Москва, квартира",Дмитровская,12,12.0,Монолитно-Каркасные,https://msk.etagi.com/realty/11791378/
studio,13200000,27.9,0,9,32,"27.9м², 9/32 этаж, ул. Рязанский проспект, 39к4, Москва, квартира",Стахановская,6,4.0,Монолитные,https://msk.etagi.com/realty/11797340/
studio,23500000,46.0,0,26,30,"46м², 26/30 этаж, ул. Волгоградский проспект, 32/3к5, Москва, квартира",Угрешская,6,9.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10944262/
studio,10300000,20.5,0,2,30,Посмотреть 8 фото,На карте Москворечье,17,4.7,Панельные,https://msk.etagi.com/realty/10947588/
studio,8900000,18.7,0,2,14,"18.7м², 2/14 этаж, ул. Ленинградский проспект, 80к66, Москва, квартира",Сокол,11,4.0,Монолитные,https://msk.etagi.com/realty/10949139/
studio,17000000,22.6,0,4,25,"22.6м², 4/25 этаж, ул. Летниковская, 6к1, Москва, квартира",Павелецкая,9,8.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10958283/
studio,18000000,44.7,0,10,19,"44.7м², 10/19 этаж, ул. Нахимовский проспект, 31к3, Москва, квартира",Профсоюзная,21,10.0,Монолитные,https://msk.etagi.com/realty/10959980/
studio,14900000,38.0,0,6,9,"38м², 6/9 этаж, ул. Нижегородская, 61, Москва, квартира",На карте Нижегородская,11,8.0,Кирпичные,https://msk.etagi.com/realty/10960003/
studio,9350000,22.0,0,18,20,"22м², 18/20 этаж, ул. Производственная, 21бс6, Москва, квартира",Боровское шоссе Новопеределкино,11,11.0,Панельные,https://msk.etagi.com/realty/10960402/
studio,12300000,19.7,0,10,24,"19.7м², 10/24 этаж, ул. 1-й Грайвороновский проезд, 7ак3, Москва, квартира",Новохохловская,9,5.1,Газосиликатные блоки,https://msk.etagi.com/realty/10967035/
studio,6435000,31.5,0,2,2,"31.5м², 2/2 этаж, ул. Перерва, 8, Москва, апартаменты",На карте Перерва,12,8.0,Панели железобетонные,https://msk.etagi.com/realty/10967309/
studio,13900000,16.7,0,1,4,"16.7м², 1/4 этаж, ул. Каланчёвская, 32, Москва, квартира",МЦД Ленинградский вокзал,9,5.0,Кирпичные,https://msk.etagi.com/realty/10970103/
studio,11700000,21.1,0,14,34,"21.1м², 14/34 этаж, ул. 2-й Нагатинский проезд, 6к1, Москва, квартира",Нагатинская,21,9.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11323434/
studio,13790000,21.1,0,25,31,Посмотреть 5 фото,Аминьевская,11,6.0,Монолитные,https://msk.etagi.com/realty/10696590/
studio,7090000,20.3,0,5,5,"20.3м², 5/5 этаж, ул. Петра Романова, 7с1, Москва, апартаменты",Кожуховская,5,4.0,Кирпичные,https://msk.etagi.com/realty/10770812/
studio,3500000,14.3,0,,,"14.3м², 1 этаж, ул. 2-й Карачаровский проезд, 4а, Москва, апартаменты",Стахановская,6,9.0,,https://msk.etagi.com/realty/10771919/
studio,4550000,10.3,0,2,5,"10.3м², 2/5 этаж, ул. Нагорная, 26к1, Москва, апартаменты",до центра Москвы всего,10,3.0,Кирпичные,https://msk.etagi.com/realty/10789708/
studio,12375000,22.0,0,18,25,"22м², 18/25 этаж, ул. Тагильская, 2к1, Москва, квартира",В,1,9.0,Монолитно-заливные,https://msk.etagi.com/realty/10805993/
studio,19700000,29.9,0,29,46,"29.9м², 29/46 этаж, ул. Академика Волгина, 2, Москва, квартира",На карте Калужская,17,5.0,Монолитные,https://msk.etagi.com/realty/10810655/
studio,18700000,35.5,0,4,16,"35.5м², 4/16 этаж, ул. Большая Филёвская, 4, Москва, апартаменты",На карте Шелепиха,12,10.0,Монолитные,https://msk.etagi.com/realty/10831043/
studio,9350000,21.8,0,3,23,"21.8м², 3/23 этаж, ул. Ленинский проспект, 158, Москва, апартаменты",На карте Тропарёво,14,9.0,Монолитные,https://msk.etagi.com/realty/10837330/
studio,9050000,18.0,0,7,23,"18м², 7/23 этаж, ул. Ленинский проспект, 158, Москва, апартаменты",На карте Тропарёво,14,2.0,Монолитные,https://msk.etagi.com/realty/10842716/
studio,8300000,21.0,0,3,5,"21м², 3/5 этаж, ул. Ботаническая, 47к7, Москва, квартира",Владыкино,6,4.0,Кирпичные,https://msk.etagi.com/realty/10843759/
studio,14850000,27.3,0,4,23,"27.3м², 4/23 этаж, ул. Красноказарменная, 14ак2, Москва, квартира",Авиамоторная,12,6.0,Монолитные,https://msk.etagi.com/realty/10847039/
studio,8800000,17.5,0,16,21,"17.5м², 16/21 этаж, ул. Автомобильный проезд, 4с4, Москва, апартаменты",Калитники,8,10.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10462227/
studio,10700000,23.9,0,5,32,"23.9м², 5/32 этаж, ул. Муравская, 38бк4, Москва, квартира",Пятницкое шоссе,23,10.0,Блочные,https://msk.etagi.com/realty/10482573/
studio,18500000,25.8,0,21,21,"25.8м², 21/21 этаж, ул. Очаковское шоссе, 9а, Москва, квартира",Аминьевская,8,4.0,Монолитные,https://msk.etagi.com/realty/10491503/
studio,17400000,29.0,0,24,41,"29м², 24/41 этаж, ул. Шелепихинская набережная, 34к5, Москва, квартира",Шелепиха,18,6.0,Монолитные,https://msk.etagi.com/realty/10503881/
studio,10300000,20.0,0,21,33,"20м², 21/33 этаж, ул. Кавказский бульвар, 51к2, Москва, квартира",На карте Царицыно,30,5.0,Монолитные,https://msk.etagi.com/realty/10543625/
studio,4250000,19.7,0,6,6,"19.7м², 6/6 этаж, ул. Колодезный переулок, 14, Москва, апартаменты",Преображенская площадь,15,10.0,Кирпич силикатный,https://msk.etagi.com/realty/10548697/
studio,9300000,24.0,0,2,5,"24м², 2/5 этаж, ул. Сельскохозяйственная, 17к4, Москва, апартаменты",На карте Ботанический сад,12,4.0,Кирпичные,https://msk.etagi.com/realty/10553104/
studio,8800000,16.0,0,1,3,"16м², 1/3 этаж, ул. Бауманская, 20с2, Москва, квартира",На карте Бауманская,5,6.0,Кирпичные,https://msk.etagi.com/realty/10554372/
studio,11700000,25.0,0,4,26,Посмотреть 7 фото,Бульвар Рокоссовского,12,9.0,Монолитные,https://msk.etagi.com/realty/10564409/
studio,16450000,33.0,0,3,28,"33м², 3/28 этаж, ул. 2-й переулок Петра Алексеева, 5, Москва, квартира",Рабочий Посёлок,18,6.0,Сборно-монолитный железобетонный каркас,https://msk.etagi.com/realty/10581406/
studio,8800000,14.0,0,1,9,"14м², 1/9 этаж, ул. Правды, 7/9к1, Москва, апартаменты",На карте Савёловская,15,5.0,Кирпичные,https://msk.etagi.com/realty/10161880/
studio,17900000,29.4,0,17,24,"29.4м², 17/24 этаж, ул. Ленинградское шоссе, 57с19, Москва, квартира",Речной вокзал,14,5.0,Монолитные,https://msk.etagi.com/realty/10207210/
studio,5300000,16.1,0,4,5,"16.1м², 4/5 этаж, ул. Автозаводская, 19к1, Москва, апартаменты",Автозаводская,8,3.0,Арболитовые,https://msk.etagi.com/realty/10213669/
studio,10500000,23.4,0,5,25,"23.4м², 5/25 этаж, ул. Дмитровское шоссе, 107к3, Москва, апартаменты",Яхромская,5,,Монолитные,https://msk.etagi.com/realty/10216890/
studio,6290000,13.0,0,1,8,"13м², 1/8 этаж, ул. Старокаширское шоссе, 2к6, Москва, апартаменты",Варшавская,15,5.0,Кирпичные,https://msk.etagi.com/realty/10220736/
studio,17500000,27.0,0,22,35,Посмотреть 12 фото,Мичуринский проспект,2,6.0,Монолитные,https://msk.etagi.com/realty/10222204/
studio,16700000,24.6,0,8,29,"24.6м², 8/29 этаж, ул. Южнопортовая, 42 с4, Москва, квартира",На карте Печатники,14,6.9,Монолитно-Кирпичный,https://msk.etagi.com/realty/10225633/
studio,10000000,22.0,0,4,13,"22м², 4/13 этаж, ул. Ленинградское шоссе, 229ак2, Москва, квартира",Новоподрезково,6,3.71,Монолитные,https://msk.etagi.com/realty/10232559/
studio,7900000,20.0,0,4,4,"20м², 4/4 этаж, ул. Окружной проезд, 16, Москва, апартаменты",Измайлово,2,2.0,Кирпич красный,https://msk.etagi.com/realty/10234124/
studio,10200000,26.4,0,4,24,"26.4м², 4/24 этаж, ул. Новоостаповская, 20, Москва, апартаменты",На карте Волгоградский проспект,2,6.0,Монолитные,https://msk.etagi.com/realty/10248350/
studio,5200000,9.4,0,1,5,"9.4м², 1/5 этаж, ул. Клары Цеткин, 3, Москва, апартаменты",Красный Балтиец,8,2.0,Монолитно-Каркасные,https://msk.etagi.com/realty/10257276/
studio,8900000,22.9,0,2,5,"22.9м², 2/5 этаж, ул. Шереметьевская, 85с1, Москва, апартаменты",На карте Алексеевская,21,,Кирпичные,https://msk.etagi.com/realty/9141699/
studio,10800000,38.0,0,7,7,"38м², 7/7 этаж, ул. Академика Миллионщикова, 20а, Москва, апартаменты",Каширская,20,8.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/9142807/
studio,3800000,10.0,0,2,4,"10м², 2/4 этаж, ул. Сиреневый бульвар, 15, Москва, апартаменты",Щёлковская,17,5.0,Монолитные,https://msk.etagi.com/realty/9165227/
studio,8700000,23.1,0,1,12,"23.1м², 1/12 этаж, ул. Коломенская, 9, Москва, апартаменты",-,4,,Панельные,https://msk.etagi.com/realty/9650898/
studio,10999000,21.0,0,3,4,"21м², 3/4 этаж, ул. Старокирочный переулок, 6, Москва, апартаменты",Бауманская,8,2.0,Кирпичные,https://msk.etagi.com/realty/9705383/
studio,18999998,26.0,0,5,33,"26м², 5/33 этаж, ул. Ленинградский проспект, 34а, Москва, апартаменты",Динамо,12,3.0,Панельные,https://msk.etagi.com/realty/9705659/
studio,10150000,26.2,0,2,21,Посмотреть 5 фото,Охотный Ряд,3,6.0,Монолитный железобетонный каркас,https://msk.etagi.com/realty/9712854/
studio,8100000,20.1,0,14,17,Посмотреть 5 фото,Перерва,11,5.0,Панельные,https://msk.etagi.com/realty/9752373/
studio,6930000,18.6,0,13,16,"18.6м², 13/16 этаж, ул. Ярославское шоссе, 116к2, Москва, апартаменты",Бабушкинская,42,1.0,Монолитные,https://msk.etagi.com/realty/9754182/
studio,5995000,12.7,0,1,4,"12.7м², 1/4 этаж, ул. Клинская, 8с1, Москва, апартаменты",Ховрино Грачёвская,11,3.0,Кирпичные,https://msk.etagi.com/realty/9806826/
studio,6200000,22.6,0,2,2,"22.6м², 2/2 этаж, ул. Перерва, 8с1, Москва, апартаменты",На карте Перерва,12,5.0,Монолитные,https://msk.etagi.com/realty/9867080/
studio,21300000,40.27,0,27,31,"40.27м², 27/31 этаж, ул. Дмитровское шоссе, 75/77, Москва, квартира",Верхние Лихоборы,6,19.7,Монолитные,https://msk.etagi.com/realty/10882832/
studio,14900000,22.6,0,27,33,"22.6м², 27/33 этаж, ул. Ильменский проезд, 4к1, Москва, квартира",На карте Лихоборы,20,6.1,Монолитно-Кирпичный,https://msk.etagi.com/realty/11707111/
studio,4200000,12.7,0,2,4,"12.7м², 2/4 этаж, ул. Сиреневый бульвар, 15, Москва, апартаменты",Щёлковская,17,3.0,Монолитные,https://msk.etagi.com/realty/11893679/
studio,7124000,26.7,0,12,26,"26.7м², 12/26 этаж, ул. Лосиноостровская, вл45к1, Москва, квартира",Белокаменная,33,6.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/1816654/
studio,13800000,26.4,0,4,9,"26.4м², 4/9 этаж, ул. Тагильская, 6/5, Москва, квартира",На карте Бульвар Рокоссовского,15,2.9,Монолитно-Кирпичный,https://msk.etagi.com/realty/3822005/
studio,8500000,21.0,0,10,25,"21м², 10/25 этаж, ул. 1-й Грайвороновский проезд, 3, Москва, квартира",На карте Новохохловская,11,9.0,Монолитные,https://msk.etagi.com/realty/3864715/
studio,11900000,25.65,0,4,7,Посмотреть 20 фото,На карте Лихоборы,20,5.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/3995840/
studio,4900000,12.3,0,1,6,"12.3м², 1/6 этаж, ул. 1-я улица Энтузиастов, 12а, Москва, апартаменты",,,3.0,Кирпичные,https://msk.etagi.com/realty/4270727/
studio,15350000,29.8,0,3,22,"29.8м², 3/22 этаж, ул. Коминтерна, 15, Москва, квартира",Бабушкинская,24,8.0,Монолитные,https://msk.etagi.com/realty/4886921/
studio,18000000,26.6,0,3,13,"26.6м², 3/13 этаж, ул. Подольское шоссе, Москва, апартаменты",На карте Тульская,11,4.3,Монолитные,https://msk.etagi.com/realty/950965/
studio,16200000,31.82,0,2,55,"31.82м², 2/55 этаж, ул. 4-я улица Марьиной Рощи, 12к1, Москва, апартаменты",Марьина Роща,6,10.07,Монолитно-Кирпичный,https://msk.etagi.com/realty/952163/
studio,10700000,25.3,0,9,25,"25.3м², 9/25 этаж, ул. Бачуринская, 11ак1, посёлок Коммунарка, квартира",Коммунарка,15,5.0,Монолитные,https://msk.etagi.com/realty/11315131/
studio,8200000,22.0,0,3,5,"22м², 3/5 этаж, ул. 5-я улица Лесные Поляны, 29, посёлок Газопровод, квартира",Коммунарка,15,6.0,"Кирпичные, монолитно-каркасные",https://msk.etagi.com/realty/11736451/
studio,12000000,26.5,0,10,25,"26.5м², 10/25 этаж, ул. Фитарёвская, 17к1, посёлок Коммунарка, квартира",На карте Новомосковская,15,10.0,Железобетонные,https://msk.etagi.com/realty/11813646/
studio,11000000,27.4,0,14,18,"27.4м², 14/18 этаж, ул. Александры Монаховой, 88к3, посёлок Коммунарка, квартира",На карте Потапово,17,10.0,Монолитные,https://msk.etagi.com/realty/11840200/
studio,15600000,46.9,0,5,17,"46.9м², 5/17 этаж, посёлок Коммунарка, квартира",Ольховая,14,10.0,Смешанные,https://msk.etagi.com/realty/11861635/
studio,10999000,34.0,0,24,25,"34м², 24/25 этаж, ул. Фитарёвская, 19, посёлок Коммунарка, квартира",На карте Ольховая,20,14.0,Кирпичные,https://msk.etagi.com/realty/11883561/
studio,12500000,34.1,0,9,9,"34.1м², 9/9 этаж, ул. Александры Монаховой, 88к1, посёлок Коммунарка, квартира",Потапово,15,7.0,Панельные,https://msk.etagi.com/realty/11955036/
studio,8500000,32.3,0,1,20,Посмотреть 6 фото,Филатов Луг,39,5.0,Монолитные,https://msk.etagi.com/realty/12150974/
studio,11650000,23.9,0,3,15,"23.9м², 3/15 этаж, ул. Потаповская Роща, 20к2, посёлок Коммунарка, квартира",На карте Ольховая Потапово,12,6.0,Монолитные,https://msk.etagi.com/realty/12160523/
studio,9500000,18.5,0,5,10,Посмотреть 12 фото,На карте Коммунарка,30,3.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/12161078/
studio,8500000,20.2,0,12,17,Посмотреть 17 фото,На карте Щербинка,12,10.0,Монолитные,https://msk.etagi.com/realty/12173255/
studio,11499000,20.0,0,3,22,"20м², 3/22 этаж, ул. Большое Понизовье, 8, квартира",На карте Филатов Луг,9,6.0,Железобетонные панели,https://msk.etagi.com/realty/11988200/
studio,12500000,24.7,0,4,18,"24.7м², 4/18 этаж, ул. Прокшинский проспект, 12, квартира",Прокшино,12,5.0,"Кирпичные, монолитно-каркасные",https://msk.etagi.com/realty/11998844/
studio,8500000,21.0,0,7,9,Посмотреть 9 фото,На карте Бунинская аллея,41,14.0,Монолитные,https://msk.etagi.com/realty/12000848/
studio,10800000,28.5,0,6,7,"28.5м², 6/7 этаж, ул. Буковая аллея, 14, квартира",,,8.0,Блочные+Кирпич,https://msk.etagi.com/realty/12030884/
studio,10990000,25.0,0,7,15,"25м², 7/15 этаж, ул. Василия Ощепкова, 6, квартира",,,10.0,Монолитные,https://msk.etagi.com/realty/12038742/
studio,9300000,20.6,0,6,20,"20.6м², 6/20 этаж, ул. Братьев Гранат, 8, квартира",На карте Прокшино,15,5.0,Монолитные,https://msk.etagi.com/realty/12045292/
studio,10500000,20.3,0,9,16,Посмотреть 7 фото,,,5.4,Другое,https://msk.etagi.com/realty/12067118/
studio,7600000,21.8,0,3,17,"21.8м², 3/17 этаж, ул. Разведчика Дейча, 1111, квартира",-,20,10.0,Панельные,https://msk.etagi.com/realty/12068702/
studio,9200000,22.7,0,15,20,"22.7м², 15/20 этаж, ул. Братьев Гранат, 8, квартира",На карте Прокшино,15,9.0,Монолитные,https://msk.etagi.com/realty/12073632/
studio,11000000,20.0,0,8,22,"20м², 8/22 этаж, ул. Большое Понизовье, 8, квартира",На карте Филатов Луг,9,10.0,Железобетонные панели,https://msk.etagi.com/realty/12074021/
studio,11500000,23.6,0,9,15,"23.6м², 9/15 этаж, ул. проспект Магеллана, 4, квартира",,,7.0,Монолитно-заливные,https://msk.etagi.com/realty/12074578/
studio,10900000,32.0,0,1,7,"32м², 1/7 этаж, ул. Золотошвейная, 9, квартира",,,10.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10099885/
studio,13365000,24.0,0,15,18,"24м², 15/18 этаж, ул. Прокшинский проспект, 12, квартира",Прокшино,12,3.0,"Кирпичные, монолитно-каркасные",https://msk.etagi.com/realty/10198777/
studio,8200000,17.8,0,2,16,"17.8м², 2/16 этаж, ул. проспект Куприна, 30к9, квартира",Добраться можно будет за,15,3.0,Монолитные,https://msk.etagi.com/realty/10290901/
studio,11300000,21.6,0,15,15,"21.6м², 15/15 этаж, ул. Лобановский Лес, 9, квартира",- В,10,5.1,Монолитные,https://msk.etagi.com/realty/10322469/
studio,12150000,39.0,2,7,9,"39м², 7/9 этаж, ул. бульвар Андрея Тарковского, 5, квартира",Всего,15,10.1,Монолитные,https://msk.etagi.com/realty/10461467/
studio,10650000,27.8,0,8,15,"27.8м², 8/15 этаж, ул. Василия Ощепкова, 3, квартира",,,8.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/10484738/
studio,11500000,25.2,0,13,22,"25.2м², 13/22 этаж, ул. Большое Понизовье, 8, квартира",На карте Филатов Луг,9,6.4,Железобетонные панели,https://msk.etagi.com/realty/10557478/
studio,10864000,20.0,0,16,18,"20м², 16/18 этаж, ул. Саларьевская, 15к1, квартира",На карте Саларьево,21,5.0,Железо-бетон,https://msk.etagi.com/realty/10601153/
studio,9400000,23.5,0,7,14,"23.5м², 7/14 этаж, ул. проспект Куприна, 38к1, квартира",Новомосковская,30,5.0,Блоки железобетонные,https://msk.etagi.com/realty/10659575/
studio,9999999,21.4,0,3,16,Посмотреть 10 фото,На карте Румянцево,14,3.0,Монолитные,https://msk.etagi.com/realty/7056081/
studio,9000000,20.3,0,6,16,Посмотреть 11 фото,,,5.4,Другое,https://msk.etagi.com/realty/8971518/
all,18000000,50.4,2,5,13,"2к, 50.4м², 5/13 этаж, ул. Римского-Корсакова, 6, Москва, квартира",На карте Отрадное,17,7.2,Кирпичные,https://msk.etagi.com/realty/12257590/
all,13200000,50.9,1,13,14,"1к, 50.9м², 13/14 этаж, ул. Головачёва, 23, Москва, квартира",Котельники,39,10.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/12250711/
all,14800000,42.0,1,14,16,"1к, 42м², 14/16 этаж, ул. Нижегородская, 70к3, Москва, квартира",Калитники,6,11.0,Панельные,https://msk.etagi.com/realty/12251097/
all,12000000,32.8,1,7,9,"1к, 32.8м², 7/9 этаж, ул. Каширское шоссе, 132к3, Москва, квартира",Домодедовская,17,5.0,Панельные,https://msk.etagi.com/realty/12251503/
all,32500000,75.0,3,9,17,"3к, 75м², 9/17 этаж, ул. Симферопольский бульвар, 29к8, Москва, квартира",На карте Варшавская Чертановская,12,10.0,Панельные,https://msk.etagi.com/realty/12252234/
all,13200000,40.2,1,16,25,"1к, 40.2м², 16/25 этаж, ул. Намёткина, 10д, Москва, апартаменты",д На карте Новые Черёмушки Калужская,12,15.3,Монолит-газоблок,https://msk.etagi.com/realty/12243438/
all,25200000,57.0,2,,,"2к, 57м², 9 этаж, ул. проезд Шокальского, 28ак1, Москва, квартира",На карте Медведково,18,10.0,,https://msk.etagi.com/realty/12243548/
all,14000000,38.5,1,3,14,"1к, 38.5м², 3/14 этаж, ул. Кантемировская, 17к1, Москва, квартира",Кантемировская,14,8.5,Панельные,https://msk.etagi.com/realty/12243767/
all,13500000,31.0,1,2,9,"1к, 31м², 2/9 этаж, ул. Ленинградское шоссе, 100, Москва, квартира",Речной вокзал,9,9.0,Кирпичные,https://msk.etagi.com/realty/12243897/
all,21500000,56.3,2,16,16,"2к, 56.3м², 16/16 этаж, ул. Юных Ленинцев, 99к2, Москва, квартира",Кузьминки,17,10.7,Монолитно-заливные,https://msk.etagi.com/realty/12244204/
all,16900000,45.0,1,6,10,"1к, 45м², 6/10 этаж, ул. Татьянин Парк, 14к2, Москва, квартира",На карте Говорово,11,5.0,"Кирпичные, монолитно-каркасные",https://msk.etagi.com/realty/12244578/
all,16500000,31.3,1,,,"1к, 31.3м², 4 этаж, ул. Юннатов, 14а, Москва, квартира",,,5.6,Кирпичные,https://msk.etagi.com/realty/12244617/
all,18500000,58.6,3,4,9,"3к, 58.6м², 4/9 этаж, ул. Уссурийская, 1к2, Москва, квартира",Щёлковская,29,6.1,Панельные,https://msk.etagi.com/realty/12233708/
all,15000000,25.5,0,3,24,"25.5м², 3/24 этаж, ул. Красного Маяка, 26а, Москва, квартира",Битцевский парк,23,5.0,Монолитные,https://msk.etagi.com/realty/12233943/
all,31890000,64.1,3,3,34,"3к, 64.1м², 3/34 этаж, ул. Архитектора Власова, 71к1, Москва, квартира",всего,5,17.9,Монолитно-Кирпичный,https://msk.etagi.com/realty/12234215/
all,33990000,40.7,2,41,54,"2к, 40.7м², 41/54 этаж, ул. 2-я Хуторская, вл34кс, Москва, квартира",Дмитровская,8,5.0,Монолитные,https://msk.etagi.com/realty/12234383/
all,23700000,64.0,3,10,12,"3к, 64м², 10/12 этаж, ул. Ереванская, 26к1, Москва, квартира",На карте Царицыно,14,9.0,Блочные,https://msk.etagi.com/realty/12235159/
all,18300000,47.5,2,2,12,"2к, 47.5м², 2/12 этаж, ул. Ясный проезд, 4к2, Москва, квартира",можно доехать примерно за,10,6.0,Панельные,https://msk.etagi.com/realty/12235175/
all,20000000,27.8,0,48,54,"27.8м², 48/54 этаж, ул. 2-я Хуторская, вл34кс, Москва, квартира",Дмитровская,8,5.0,Монолитные,https://msk.etagi.com/realty/12235207/
all,12150000,24.0,0,3,24,"24м², 3/24 этаж, ул. Октябрьская, 98 вл, Москва, апартаменты",На карте Марьина Роща,3,4.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/12235347/
all,4990000,11.0,0,1,4,"11м², 1/4 этаж, ул. Новопесчаная, 4к1, Москва, апартаменты",метро Сокол в,2,2.0,Кирпичные,https://msk.etagi.com/realty/12235462/
all,16500000,57.4,3,3,9,"3к, 57.4м², 3/9 этаж, ул. Чертановская, 58к2, Москва, квартира",Улица Академика Янгеля,20,5.8,Панельные,https://msk.etagi.com/realty/12228410/
all,48000000,86.0,3,4,32,"3к, 86м², 4/32 этаж, ул. Херсонская, 43/7, Москва, квартира",На карте Зюзино,14,14.0,Монолитные,https://msk.etagi.com/realty/12229996/
all,11900000,58.9,3,7,9,"3к, 58.9м², 7/9 этаж, ул. Востряковский проезд, 21к3, Москва, квартира",Битца,39,6.0,Панели железобетонные,https://msk.etagi.com/realty/12230978/
all,21500000,64.0,3,,,"3к, 64м², 1 этаж, ул. Алтуфьевское шоссе, 97к1, Москва, квартира",На карте Алтуфьево,12,9.0,,https://msk.etagi.com/realty/12231113/
all,16500000,28.5,0,8,39,Посмотреть 14 фото,Селигерская,6,5.5,Монолитно-Кирпичный,https://msk.etagi.com/realty/12231504/
all,7500000,16.0,0,1,5,"16м², 1/5 этаж, ул. 1-й Краснокурсантский проезд, 3/5к10, Москва, апартаменты",На карте Лефортово,9,3.0,Блоки железобетонные,https://msk.etagi.com/realty/12231531/
all,19500000,53.0,0,2,3,"53м², 2/3 этаж, ул. Электрозаводская, 33с1, Москва, апартаменты",Преображенская площадь,9,10.0,Железобетонные,https://msk.etagi.com/realty/12099885/
all,18400000,26.4,0,17,30,"26.4м², 17/30 этаж, ул. Волгоградский проспект, 32/5к4, Москва, квартира",Угрешская,6,8.0,Монолитные,https://msk.etagi.com/realty/12202260/
