source_group,price,area_total,rooms,floor,floors_total,address,metro,metro_walk_min,kitchen_area,walls,link
3k,23500000,72.3,3,14,14,"3к, 72.3м², 14/14 этаж, ул. 3-й Нижнелихоборский проезд, 16к1, Москва, квартира",Окружная,3,9.6,Блочные+Кирпич,https://msk.etagi.com/realty/12220543/
3k,37000000,100.0,3,5,5,"3к, 100м², 5/5 этаж, ул. 1-я улица Машиностроения, 4к1, Москва, квартира",Дубровка,8,10.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/12220747/
3k,18100000,51.1,3,3,9,"3к, 51.1м², 3/9 этаж, ул. Ленская, 3, Москва, квартира",Бабушкинская,11,6.0,Панельные,https://msk.etagi.com/realty/12221629/
3k,58000000,110.0,3,3,16,"3к, 110м², 3/16 этаж, ул. 1-я улица Бухвостова, 2к3, Москва, квартира",Преображенская площадь,6,16.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/12222086/
3k,28200000,56.2,3,4,9,"3к, 56.2м², 4/9 этаж, ул. Кутузовский проспект, 15, Москва, квартира",На карте Выставочная Киевская,11,5.3,Кирпичные,https://msk.etagi.com/realty/12224894/
3k,21800000,72.0,3,,,Посмотреть 8 фото,Бабушкинская,23,10.0,,https://msk.etagi.com/realty/12183056/
3k,32000000,120.0,3,8,11,"3к, 120м², 8/11 этаж, ул. Генерала Белобородова, 23, Москва, квартира",На карте Волоколамская Пенягино,20,20.0,Монолитно-Каркасные,https://msk.etagi.com/realty/12183321/
3k,15350000,57.5,3,3,9,"3к, 57.5м², 3/9 этаж, ул. Грайвороновская, 18к2, Москва, квартира",Текстильщики,17,10.0,Сборно-монолитный железобетонный каркас,https://msk.etagi.com/realty/12183766/
3k,36500000,74.7,3,57,59,"3к, 74.7м², 57/59 этаж, ул. Верейская, 29с34, Москва, квартира",Давыдково,15,23.0,Монолитно-Каркасные,https://msk.etagi.com/realty/12184143/
3k,23750000,89.8,3,8,18,"3к, 89.8м², 8/18 этаж, ул. 6-я Радиальная, 7/6к3, Москва, квартира",Покровское,23,9.0,Монолитные,https://msk.etagi.com/realty/12184209/
3k,18600000,58.7,3,3,9,"3к, 58.7м², 3/9 этаж, ул. Бажова, 15к2, Москва, квартира",Ростокино,5,6.0,Панельные,https://msk.etagi.com/realty/12184667/
3k,45900000,80.0,3,3,9,"3к, 80м², 3/9 этаж, ул. Ленинградский проспект, 78к1, Москва, квартира",Метро Сокол в,1,11.0,Монолитные,https://msk.etagi.com/realty/12143642/
3k,54000000,94.0,3,7,31,"3к, 94м², 7/31 этаж, ул. Василия Ланового, 5, Москва, квартира",На карте Матвеевская Аминьевская,9,9.0,"Кирпичные, монолитно-каркасные",https://msk.etagi.com/realty/12147600/
3k,28400000,68.0,3,9,24,"3к, 68м², 9/24 этаж, ул. Бартеневская, 18к2, Москва, квартира",Бунинская аллея,15,18.0,Монолитные,https://msk.etagi.com/realty/12147663/
3k,43430000,77.0,3,9,12,"3к, 77м², 9/12 этаж, ул. Посланников переулок, 6, Москва, квартира",Бауманская,5,10.1,Монолитные,https://msk.etagi.com/realty/12147813/
3k,54900000,80.5,3,21,27,"3к, 80.5м², 21/27 этаж, ул. Аминьевское шоссе, 4дк2, Москва, квартира",На карте Аминьевская,5,26.0,Монолитные,https://msk.etagi.com/realty/12147939/
3k,25200000,58.3,3,3,5,"3к, 58.3м², 3/5 этаж, ул. Ботаническая, 3, Москва, квартира",Останкино,9,9.0,Блочные,https://msk.etagi.com/realty/12148233/
3k,29000000,84.0,3,,,"3к, 84м², 4 этаж, ул. Мещерякова, 4к2, Москва, квартира",Тушинская,15,8.0,,https://msk.etagi.com/realty/12090429/
3k,20300000,72.0,3,9,17,"3к, 72м², 9/17 этаж, ул. Воронежская, 52к1, Москва, квартира",Зябликово,12,10.6,Панельные,https://msk.etagi.com/realty/12090542/
3k,35000000,82.4,3,7,27,Посмотреть 6 фото,,,10.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/12092562/
3k,39000000,64.7,3,9,16,"3к, 64.7м², 9/16 этаж, ул. Загородное шоссе, 9к1, Москва, квартира",,,10.0,Кирпичные,https://msk.etagi.com/realty/12096963/
