source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km
all,10000000.0,28.1,1.0,3.0,24.0,"Москва, ул. Очаковское шоссе, 7 (12 км до центра)",55.692896,37.460816,Аминьевская,6.0,10.0,чистовая отделка,панельные,,,не угловая,,7,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12620373/,raw,0.52,geo_recomputed,11.72,2.94,0.37,0.15,0.42,0.3
all,17950000.0,27.0,1.0,5.0,15.0,"Москва, ул. проспект Маршала Жукова, 39ак1 (9 км до центра)",55.775307,37.471237,Народное Ополчение,10.0,10.0,,сборно-монолитный железобетонный каркас,,2.64,не угловая,"пассажирский, грузовой",39ак1,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12620459/,raw,0.87,geo_recomputed,9.39,6.18,0.42,0.25,0.15,0.09
all,66000000.0,91.4,3.0,12.0,24.0,"Москва, ул. Профсоюзная, 68к2 (11 км до центра)",55.664091,37.546264,Воронцовская,9.0,21.7,,монолитные,,,не угловая,,68к2,Детская площадка,,нет,https://msk.etagi.com/realty/12620473/,raw,0.73,geo_recomputed,10.72,6.08,0.66,0.54,0.08,0.21
all,13900000.0,30.1,1.0,1.0,8.0,"Москва, ул. Звёздный бульвар, 42к1",55.813273,37.622729,Алексеевская,14.0,7.0,евроремонт,блочные,1961.0,2.64,не угловая,грузовой,42к1,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12620582/,raw,1.17,geo_recomputed,6.81,9.42,0.42,0.33,0.34,0.06
all,15000000.0,37.5,1.0,5.0,17.0,"Москва, ул. Главмосстроя, 9 (97 км до центра)",55.655706,37.40601,Говорово,10.0,7.4,чистовая отделка,кирпично-панельные,,2.6,не угловая,,9,Детская площадка,,нет,https://msk.etagi.com/realty/12620874/,raw,0.79,geo_recomputed,16.96,1.8,0.13,0.11,0.13,0.35
all,,,,,,,,,,,,,,,,,,,,,,https://msk.etagi.com/realty/12620890/,missing,,missing,,,,,,
all,27200000.0,66.1,2.0,4.0,24.0,"Москва, ул. Перовское шоссе, д. 21",55.736939,37.74816,Андроновка,11.0,29.9,черновая отделка,монолитно-кирпичный,,2.98,не угловая,,1,Детская площадка,,нет,https://msk.etagi.com/realty/12613381/,raw,0.94,geo_recomputed,8.47,5.82,0.26,0.19,0.25,0.4
all,18950000.0,52.8,3.0,17.0,25.0,"Москва, ул. Новоостаповская, 2 (5 км до центра)",55.717264,37.666531,Дубровка,7.0,10.0,косметический ремонт,монолитные,,,не угловая,грузовой,2,Двор,подземный паркинг,нет,https://msk.etagi.com/realty/12613740/,raw,0.62,geo_recomputed,5.03,10.48,0.19,0.39,0.28,0.24
all,25000000.0,72.2,3.0,2.0,17.0,"Москва, ул. Борисовские Пруды, 21к2",55.636936,37.723403,Борисово,16.0,10.0,евроремонт,панели железобетонные,,,не угловая,,21к2,Детская площадка,,нет,https://msk.etagi.com/realty/12614582/,raw,1.34,geo_recomputed,14.49,4.1,0.13,0.09,1.11,0.54
all,36000000.0,54.0,2.0,10.0,27.0,"Москва, ул. Зорге, 9к2 (7 км до центра)",55.782309,37.508598,Хорошево,7.0,9.0,косметический ремонт,монолитно-кирпичный,2022.0,3.0,не угловая,грузовой,9к2,Двор,"наземный паркинг, гостевой паркинг, подземный паркинг",есть,https://msk.etagi.com/realty/12614623/,raw,0.57,geo_recomputed,7.48,8.04,0.28,0.29,0.47,0.48
