price,area_total,rooms,floor,floors_total,latitude,longitude,metro_walk_min,kitchen_area,build_year,ceiling_height,floor_position,yard,playground,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,parking_underground,parking_ground,parking_multilevel,parking_open,elevator_passenger,elevator_cargo,walls_norm_block,walls_norm_brick,walls_norm_monolith,walls_norm_other,walls_norm_panel,walls_norm_unknown,renovation_norm_cosmetic,renovation_norm_good,renovation_norm_no_repair,renovation_norm_other,renovation_norm_unknown
13200000.0,34.7,1.0,9.0,9.0,55.598782,37.720295,15.0,9.0,1976.0,2.5,не угловая,Двор,нет,raw,1.28,geo_recomputed,18.28,0.96,0.08,0.2,0.68,0.17,380403.45821325644,0,0,0,0,1,1,False,False,False,False,True,False,True,False,False,False,False
25800000.0,64.7,2.0,15.0,23.0,55.659119,37.751664,2.0,10.4,,3.0,не угловая,Двор,нет,raw,0.21,geo_recomputed,13.41,4.58,0.39,0.23,0.33,0.13,398763.52395672334,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False
12500000.0,36.5,1.0,20.0,24.0,55.667731,37.774014,15.0,8.1,2004.0,3.0,не угловая,Двор,нет,raw,1.25,geo_recomputed,13.66,3.92,0.24,0.21,0.38,0.14,342465.7534246575,0,1,0,0,1,1,False,False,False,False,True,False,False,False,True,False,False
14500000.0,37.5,1.0,2.0,17.0,55.636936,37.723403,16.0,9.0,,,не угловая,Детская площадка,нет,raw,1.34,geo_recomputed,14.49,4.1,0.13,0.09,1.11,0.54,386666.6666666667,0,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False
14700000.0,31.5,1.0,15.0,25.0,55.666919,37.733994,11.0,10.1,2024.0,2.65,не угловая,Двор,нет,raw,0.89,geo_recomputed,12.04,5.99,0.79,0.28,1.16,0.52,466666.6666666667,1,1,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False
41000000.0,60.0,2.0,15.0,20.0,55.705853,37.631874,9.0,9.0,,,не угловая,Двор,нет,raw,0.72,geo_recomputed,5.25,12.46,0.66,0.57,0.46,0.09,683333.3333333334,1,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False
35500000.0,86.0,3.0,18.0,23.0,55.719003,37.72705,6.0,6.0,2020.0,2.64,не угловая,Двор,есть,raw,0.49,geo_recomputed,7.89,6.84,0.56,0.2,0.06,0.19,412790.6976744186,0,1,0,0,1,1,False,False,True,False,False,False,False,False,False,False,True
15800000.0,38.3,1.0,3.0,25.0,55.869364,37.549857,6.0,10.0,2013.0,2.64,не угловая,Двор,есть,raw,0.5,geo_recomputed,13.66,4.04,0.21,0.1,0.14,0.13,412532.637075718,0,1,0,0,1,1,False,False,True,False,False,False,True,False,False,False,False
16900000.0,30.1,1.0,,,55.867339,37.671651,7.0,6.0,,,не угловая,Детская площадка,нет,raw,0.59,geo_recomputed,13.27,3.09,0.12,0.21,0.12,0.35,561461.7940199336,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True
16500000.0,39.8,1.0,24.0,33.0,55.62819,37.639581,16.0,9.0,,,не угловая,Двор,нет,raw,1.37,geo_recomputed,13.87,6.04,0.85,0.68,0.67,0.47,414572.8643216081,1,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False
23300000.0,58.0,2.0,10.0,21.0,55.878859,37.650352,15.0,11.0,,,не угловая,Детская площадка,нет,raw,1.24,geo_recomputed,14.25,1.94,0.1,0.18,0.53,0.33,401724.1379310345,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False
13800000.0,64.5,3.0,7.0,16.0,55.686284,37.927779,22.0,7.8,1989.0,2.64,не угловая,Двор,нет,raw,1.85,geo_recomputed,20.88,5.94,0.33,0.41,0.75,0.17,213953.48837209304,0,1,0,0,1,1,False,False,False,False,True,False,False,True,False,False,False
13500000.0,50.4,2.0,6.0,15.0,55.648727,37.439104,21.0,6.8,2025.0,2.82,не угловая,Двор,нет,geo,1.76,geo_recomputed,15.96,0.46,0.92,1.2,1.56,0.93,267857.14285714284,1,1,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False
10999000.0,25.0,0.0,2.0,13.0,55.799851,37.615255,3.0,5.0,,3.0,не угловая,Двор,нет,raw,0.21,geo_recomputed,5.3,10.98,0.45,0.15,0.21,0.07,439960.0,1,1,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False
22000000.0,38.0,2.0,2.0,9.0,55.772239,37.708976,11.0,8.0,,,не угловая,Двор,нет,raw,0.95,geo_recomputed,6.25,8.39,0.14,0.09,0.09,0.72,578947.3684210526,0,0,0,0,1,1,False,False,False,False,True,False,False,False,False,False,True
15900000.0,34.0,1.0,8.0,8.0,55.724662,37.766262,7.0,5.7,1961.0,2.64,не угловая,Двор,есть,raw,0.57,geo_recomputed,9.92,4.59,0.15,0.23,0.66,0.23,467647.0588235294,0,1,0,0,1,1,False,True,False,False,False,False,True,False,False,False,False
