source_group,price,area_total,kitchen_area,price_per_m2,rooms,floor,floors_total,address,metro,metro_walk_min,walls,walls_clean,link,address_raw,metro_raw
4k,60000000,145.0,35.0,413793.1034482759,4.0,5.0,8.0,"ул. Садовая-Спасская, 19/1, Москва",Красные Ворота,3.0,Кирпичные,кирпич,https://msk.etagi.com/realty/9615566/,"4к, 145м², 5/8 этаж, ул. Садовая-Спасская, 19/1, Москва, квартира",Красные Ворота
4k,80000000,167.9,15.0,476474.09172126267,4.0,6.0,48.0,"ул. Авиационная, 79к1, Москва",Щукинская,12.0,Кирпичные,кирпич,https://msk.etagi.com/realty/9648994/,"4к, 167.9м², 6/48 этаж, ул. Авиационная, 79к1, Москва, квартира",Щукинская
4k,29500000,105.0,11.0,280952.38095238095,4.0,14.0,21.0,"ул. Саратовская, 31, Москва",Стахановская,15.0,Панельные,панель,https://msk.etagi.com/realty/9744757/,"4к, 105м², 14/21 этаж, ул. Саратовская, 31, Москва, квартира",На карте Стахановская
4k,28000000,106.4,10.0,263157.8947368421,4.0,16.0,21.0,"ул. Саратовская, 31, Москва",Стахановская,15.0,Панельные,панель,https://msk.etagi.com/realty/9752299/,"4к, 106.4м², 16/21 этаж, ул. Саратовская, 31, Москва, квартира",На карте Стахановская
4k,400000000,385.0,9.0,1038961.0389610389,6.0,4.0,11.0,"ул. Усачёва, 11, Москва",Фрунзенская,8.0,Монолитно-заливные,монолит,https://msk.etagi.com/realty/3885806/,"6к, 385м², 4/11 этаж, ул. Усачёва, 11, Москва, квартира",Фрунзенская
4k,196000000,168.5,20.0,1163204.7477744806,4.0,2.0,19.0,"ул. Ломоносовский проспект, 25к5, Москва",Университет,2.0,Монолитные,монолит,https://msk.etagi.com/realty/3980136/,"4к, 168.5м², 2/19 этаж, ул. Ломоносовский проспект, 25к5, Москва, квартира",На карте Университет
4k,90000000,142.7,15.0,630693.7631394535,4.0,3.0,6.0,"ул. Старый Толмачёвский переулок, 3, Москва",Новокузнецкая,6.0,Кирпичные,кирпич,https://msk.etagi.com/realty/4317142/,"4к, 142.7м², 3/6 этаж, ул. Старый Толмачёвский переулок, 3, Москва, квартира",На карте Новокузнецкая
4k,25850000,91.8,10.2,281590.41394335515,4.0,3.0,17.0,"ул. Привольная, 73к2, Москва",,5.0,Панельные,панель,https://msk.etagi.com/realty/4417935/,"4к, 91.8м², 3/17 этаж, ул. Привольная, 73к2, Москва, квартира",До метро Котельники -
4k,41100000,84.2,11.3,488123.5154394299,4.0,3.0,3.0,"ул. Спасский тупик, 4, Москва",Комсомольская,8.0,Монолитный железобетонный каркас,монолит,https://msk.etagi.com/realty/5770306/,"4к, 84.2м², 3/3 этаж, ул. Спасский тупик, 4, Москва, квартира",Комсомольская
4k,29400000,111.3,18.0,264150.94339622644,4.0,3.0,25.0,"ул. Митинская, 10, Москва",Волоколамская,9.0,Блочные,блочные,https://msk.etagi.com/realty/924739/,"4к, 111.3м², 3/25 этаж, ул. Митинская, 10, Москва, квартира",Волоколамская
3k,15000000,59.0,6.0,254237.28813559323,3.0,7.0,9.0,"ул. Уссурийская, 5к1, Москва",Щёлковская,29.0,Панельные,панель,https://msk.etagi.com/realty/12245372/,"3к, 59м², 7/9 этаж, ул. Уссурийская, 5к1, Москва, квартира",Щёлковская
3k,40000000,86.8,9.0,460829.4930875576,3.0,1.0,5.0,"ул. 1-я улица Машиностроения, 4к2, Москва",Дубровка,6.0,Кирпичные,кирпич,https://msk.etagi.com/realty/12250812/,"3к, 86.8м², 1/5 этаж, ул. 1-я улица Машиностроения, 4к2, Москва, квартира",Дубровка
3k,57000000,90.0,10.0,633333.3333333334,3.0,8.0,78.0,"ул. 1-й Красногвардейский проезд, 22с2, Москва",Деловой центр,6.0,Монолитные,монолит,https://msk.etagi.com/realty/12255659/,"3к, 90м², 8/78 этаж, ул. 1-й Красногвардейский проезд, 22с2, Москва, квартира",На карте Деловой центр Международная
3k,53700000,97.5,31.3,550769.2307692308,3.0,17.0,21.0,"ул. 3-я Хорошёвская, 17а/2, Москва",Октябрьское Поле,15.0,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/12256457/,"3к, 97.5м², 17/21 этаж, ул. 3-я Хорошёвская, 17а/2, Москва, квартира",На карте Октябрьское Поле
3k,49400000,71.1,12.0,694796.0618846696,3.0,25.0,36.0,"ул. Лобачевского, 120, Москва",Мичуринский проспект,6.0,Монолитные,монолит,https://msk.etagi.com/realty/582805/,"3к, 71.1м², 25/36 этаж, ул. Лобачевского, 120, Москва, квартира",На карте Мичуринский проспект Аминьевская
